n,angle,val
5,41.18,66
5,18.62,66
5,36.52,69
5,40.71,69
5,39.82,70
5,38.46,70
5,30.58,70
5,34.56,71
5,36.91,71
5,39.2,71
5,38.38,71
5,38.65,72
5,23.12,72
5,21.63,72
5,32.38,73
5,34.39,73
5,38.7,73
5,40.73,73
5,37.06,73
5,33.79,73
5,26.58,73
5,31.98,73
5,29.53,73
5,26.38,73
5,35.99,74
5,38.71,74
5,37.64,74
5,37.67,74
5,37.92,74
5,30.23,74
5,24.41,74
5,22.19,74
5,22.97,74
5,33.31,75
5,29.61,75
5,29.02,75
5,28.22,75
5,23.52,75
5,25.46,75
5,23,75
5,31.22,76
5,19.62,76
5,33.04,76
5,31.14,76
5,26.95,76
5,24.56,76
5,-1,76
5,23.49,76
5,31.57,77
5,25.68,77
5,26.88,77
5,22.86,78
5,31.85,78
5,30.18,78
5,31.33,78
5,28.45,78
5,24.27,78
5,25.8,78
5,24.92,78
5,21.88,78
5,30.73,79
5,29.17,79
5,26.83,79
5,21.78,79
5,29.98,80
5,21.14,80
5,23.95,81
5,24.37,81
5,23.13,81
5,-20.9,82
5,17.14,82
5,22.19,82
5,26.01,82
5,6.28,82
5,20.84,83
5,27.05,83
5,25.73,83
5,25.25,83
5,5.99,85
5,15.7,85
5,21.44,86
5,2.66,86
5,17.19,87
5,20.31,87
5,17.5,87
5,4.66,87
5,15.57,88
5,15.03,88
5,18.91,88
5,23.59,89
5,20.99,89
5,16.09,90
5,16.13,90
5,10.31,90
5,-2.46,91
5,14.16,91
5,8.6,91
5,20.45,92
5,7.76,92
5,12.59,93
5,14.73,93
5,3.88,93
5,21.1,94
5,10.55,94
5,16.1,95
5,-2.16,95
5,3.11,95
5,2.55,95
5,-3.71,97
5,9.44,97
5,4.19,98
5,1.92,99
5,5.21,99
5,4.81,99
5,6.92,99
5,2.16,99
5,12.63,99
5,14.73,101
5,12.24,101
5,-4.17,101
5,-4.19,101
5,2.89,101
5,1.17,102
5,3.31,103
5,-22.52,103
5,-2.99,103
5,-4.69,103
5,-8.82,103
5,7.79,103
5,-1.37,104
5,-0.75,105
5,2.07,105
5,-11.93,105
5,1.28,105
5,-3.63,106
5,-0.67,106
5,-2.19,106
5,-7.53,106
5,6.4,106
5,-8.65,107
5,-9.84,107
5,-9.92,107
5,-21.45,107
5,-21.43,107
5,-4.52,107
5,0.1,107
5,21.76,107
5,1.73,107
5,-1.48,108
5,-6.02,108
5,-22.38,108
5,-15.91,108
5,-7.7,108
5,0.06,108
5,-9.12,108
5,-7.72,108
5,1.16,109
5,-6.14,109
5,-12.49,109
5,-1.52,109
5,-4.78,109
5,1.86,109
5,1,109
5,-11.31,110
5,-6.54,110
5,-15.35,110
5,18.91,110
5,2.48,110
5,-12.88,111
5,-14.69,111
5,-12.37,111
5,-5.18,111
5,-13.68,112
5,-13.23,112
5,-14.31,112
5,-6.29,112
5,-13.51,112
5,1.05,112
5,-14.87,113
5,-16.85,113
5,-22.68,113
5,-23.61,113
5,-15.18,113
5,-15.46,113
5,-16.81,113
5,-0.48,113
5,-13.85,114
5,-14.75,114
5,-13.99,114
5,-15.04,114
5,-17.92,115
5,-22.22,115
5,-13.06,115
5,-17.76,115
5,-14.7,115
5,20.85,115
5,-14.97,116
5,-23.17,117
5,-21.48,117
5,-18.87,117
5,4.52,118
5,-23.67,118
5,-16.03,118
5,-18.89,119
5,-22.05,119
5,-24.84,119
5,-25.67,119
5,-24.97,119
5,-25.95,119
5,-23.41,119
5,-23.51,119
5,-18.34,119
5,-21.45,119
5,-17.3,120
5,-22.8,120
5,-24.96,120
5,-24.92,120
5,-24.99,120
5,-2.38,120
5,-21.73,120
5,-24.27,121
5,-23.52,121
5,-20.82,122
5,-20.28,122
5,-0.06,122
5,24.57,124
5,10.87,125
5,9.69,125
5,-4.98,125
5,-21.99,125
5,7.48,126
5,4.67,127
5,-23.05,128
5,3.64,130
5,1.66,130
5,0.96,132
5,0.83,133
5,2.22,135
5,3.25,136
5,-0.28,136
5,0.85,138
5,-0.19,140
5,-11.94,143
