n,angle,val
4,21.99,142
4,29.53,164
4,23.12,166
4,25.8,166
4,25.46,166
4,20.94,167
4,29.17,168
4,26.67,168
4,26.38,168
4,26.88,168
4,24.27,169
4,24.41,170
4,-1,170
4,23,171
4,29.02,172
4,30.58,172
4,31.33,172
4,22.97,172
4,26.01,172
4,31.57,173
4,25.68,173
4,21.76,174
4,30.23,175
4,28.45,175
4,25.73,175
4,24.92,175
4,39.67,176
4,22.19,176
4,23.52,176
4,33.04,177
4,31.14,177
4,29.98,177
4,22.19,177
4,15.03,178
4,38.71,179
4,18.91,179
4,32.03,179
4,36.64,179
4,38.38,180
4,30.18,180
4,20.85,180
4,37.69,180
4,37.64,181
4,38.46,181
4,34.39,182
4,36.52,182
4,35.99,182
4,41.18,182
4,40.71,182
4,-1,182
4,40.73,182
4,39.2,182
4,17.5,182
4,21.44,182
4,38.08,183
4,37.67,183
4,38.65,183
4,31.85,183
4,9.95,183
4,20.67,183
4,-1,183
4,36.91,184
4,38.7,184
4,31.98,184
4,32.37,184
4,34.27,184
4,34.22,184
4,26.71,184
4,28.67,184
4,27.57,185
4,39.82,185
4,22.1,185
4,31.43,185
4,34.56,186
4,37.06,186
4,23.59,186
4,30.73,186
4,2.16,186
4,14.16,186
4,21.19,186
4,23.53,186
4,37.92,187
4,3.11,187
4,9.44,187
4,21.88,187
4,20,187
4,22.96,187
4,27.84,187
4,23.56,187
4,20.97,187
4,24.37,188
4,27.05,188
4,15.57,188
4,20.99,188
4,6.28,188
4,13.16,188
4,8.98,188
4,30.91,188
4,20.45,189
4,31.22,189
4,32.38,189
4,33.79,189
4,19.62,189
4,17.14,189
4,8.33,189
4,12.28,189
4,20.13,189
4,22.38,189
4,24.57,189
4,30.28,189
4,31.64,189
4,33.31,190
4,17.47,190
4,14.08,190
4,21.15,190
4,21.6,190
4,24.64,190
4,24.07,190
4,29.8,190
4,13.76,190
4,20.31,191
4,36.32,191
4,21.47,191
4,21.44,192
4,20.84,192
4,29.61,192
4,7.98,192
4,14.6,192
4,19.36,192
4,2.29,192
4,23.95,193
4,16.1,193
4,23.54,193
4,15.91,193
4,7.95,194
4,8.6,194
4,17.81,194
4,15.7,194
4,15.58,194
4,6.92,195
4,30.38,197
4,11.23,197
4,-0.1,197
4,3.19,198
4,-2.21,200
4,3.95,201
4,-0.38,202
4,1.39,206
