n,angle,val
7,-24.96,73
7,-24.27,75
7,-23.52,75
7,-20.28,75
7,-24.97,76
7,-23.17,78
7,-9.12,78
7,-24.92,79
7,-24.99,79
7,-14.75,80
7,-13.99,80
7,-21.99,80
7,-12.88,81
7,-6.54,81
7,-7.53,81
7,-18.34,82
7,-14.87,83
7,-22.8,83
7,-21.73,83
7,-3.63,84
7,-22.05,84
7,-25.95,84
7,-15.04,84
7,-15.46,84
7,-14.97,84
7,-16.03,84
7,-5.9,84
7,-17.92,85
7,-22.42,85
7,-2.38,86
7,-4.78,86
7,-13.51,86
7,-1.48,87
7,-9.92,87
7,-24.84,87
7,1.66,87
7,-22.91,87
7,-0.75,88
7,-9.84,88
7,-18.89,88
7,-16.81,88
7,-18.87,88
7,-2.19,89
7,-13.06,90
7,0.06,90
7,-4.69,91
7,-20.1,91
7,0.1,92
7,-1.52,92
7,-23.67,93
7,-15.35,93
7,-22.66,93
7,-21.62,93
7,-19.33,94
7,-16.3,94
7,-0.67,95
7,1.73,95
7,-6.79,95
7,14.73,96
7,-6.14,96
7,-14.7,96
7,-22.78,96
7,-13.08,96
7,-6.09,96
7,-0.19,97
7,-8.17,97
7,-14.05,97
7,-16.52,98
7,-0.06,99
7,1.86,99
7,-9.17,99
7,-17.08,99
7,-14.77,99
7,-12.59,100
7,-21.51,100
7,12.24,101
7,-1.37,101
7,3.25,101
7,-5.75,101
7,3.64,103
7,-9.64,103
7,-11.18,104
7,-4.98,105
7,3.11,105
7,1.28,105
7,4.19,106
7,1.74,106
7,-21.38,106
7,0.96,107
7,-13.68,107
7,0.83,110
7,-10.65,110
7,3.88,114
7,4.52,117
7,4.67,122
